书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
历代名家册页宋代花鸟,历代名家册页丛书编委会编,杭州浙江人民美术出版社,花鸟画作品集中国宋代,历代名家册页丛书编委会编的历代名家册页系列丛书以图文并茂的形式，高清图版，集中展示了历代名家的山水、花鸟、人物册页作品。宋代花鸟为该系列丛书的其中的一册，收入了宋代名家的花鸟画作品，具有较高的学习价值，可供各位国画爱好者参考临摹。,J,2016.06
环球美术家视点系列凡高,傅皓玥,长春吉林美术出版社,油画作品集荷兰近代,文森特威廉凡高，荷兰后印象派画家。出生于新教牧师家庭，是后印象主义的先驱。岁，他在威廉二世国王公立学校退学一年后，赶往海牙成为古比尔画廊一名职员。值得一提的是，凡高在学校时候怎么也学不会透视，不知道摔坏了多少个石膏像。很难想象闻名于世的天才画家在绘画初期竟然学不会透视。在画廊销售期间，凡高对人热情，和当地的艺术家相处得好，很快能融入社会，与后来的行为有很大的区别。如果要是一直是这样，凡高会一直在画廊工作下去的，他会成为一名成功的画商，那就再也没有世界闻名的艺术大师了。,J,2016.03
水彩静物画写生,奥迪,沈阳辽宁美术出版社,水彩画静物画绘画技法,本书收录了有干葵花的静物、黑陶与残片、明信片上的静物、小石臼、蒙古象棋与扑克牌、莲藕与烛台、酒瓶与书籍、石膏干鱼等作品。,J,2016.01
沙耆的乡愁,杨建维编,杭州浙江人民美术出版社,中国画作品集中国现代油画作品集中国现代,本书分为人物小品、山水小品、动物小品、禽鸟小品、花卉蔬果小品等部分，主要包括伺茶女、母子图、枉此一生、独饮、女骑手、青梅竹马、待归、沙家凉亭等。,J,2016.09
小老爷们儿那点事儿,猫小乐,昆明云南科技出版社,漫画作品集中国现代,小老爷们那点事儿是一部带着自嘲风格却以其率真、质朴、幽默且勇敢的面貌亮相的漫画书涂老鸦的漫画体现的是一种天真、自然一种真性情的流露。没有居高临下的批判也没有空洞乏味的说教被称为可以给中学生看的成长启蒙教材。,J,2016.08
历代名家册页李流芳,历代名家册页编委会,杭州浙江人民美术出版社,中国画作品集中国明代,本书收录的作品主要包括吴中十景图册、为士远作山水图册、山水图册、山水花卉图册等。,J,2016.06
画坛巨匠萨金特素描,荆成义编,沈阳辽宁美术出版社,素描作品集美国现代,本书是画坛巨匠系列图书之一，主要介绍美国世纪末写实主义画派的主要画家萨金特的素描作品及创作手稿。他的作品从客观的描绘代之以主观的表现，对于光、色、形的表达，已达到了很高的境界。,J,2016.04
环球美术家视点系列毕沙罗,张广阳，张天爽主编,长春吉林美术出版社,油画作品集法国近代,本书收录了法国画家毕沙罗的油画作品包括海边的两个女人、通往马利港的路、蓬多瓦兹阿赫米塔什山脚、蓬多瓦兹加雷山坡等。,J,2016.03
环球美术家视点系列列维坦,马文甲，张天爽主编,长春吉林美术出版社,油画作品集俄罗斯近代,本书收录了索科尔尼基的秋天、伏尔加河上、秋日、阳光灿烂的日子春天、秋天的风景、河边的村庄与麦垛、蜂房等作品。,J,2016.03
环球美术家视点系列门采尔,孟施序，张天爽,长春吉林美术出版社,油画作品集德国现代,本书精选门采尔的绘画作品。主要内容包括玩象棋的男人睡着的男人有胡须的工人侧面肖像阿尔伯特王子宫殿的花园阿尔伯特王子宫殿的花园等。,J,2016.03
美术的故事,任道斌,杭州浙江文艺出版社,绘画理论,本书主要内容包括汉代画像与社会生活、丝路艺宫敦煌、南宋绘画与首都杭州、墨苑画皇黄公望、明代吴门画派的艺术生涯、晚明松江画派大家董其昌等。,J,2016.07
燕闲清赏陈蔼画集,陈蔼,沈阳辽宁美术出版社,中国画作品集中国现代,本书是作者的中国画作品集。无论题材的选择还是画面的构图抑或是色彩的表现无不流露出女性特有的温婉淡雅的气质。作为一种创作她放弃了传统花鸟画中梅兰竹菊等经典题材而是选择了木瓜、玉米、菜花、芭蕉等常见的田间作物为题材以撞水撞粉技法为主要的表现手法并结合染、罩、皴等多种方式描绘清灵、明媚、秀润的南国田园气息。,J,2016.08
费欣素描,沙泉，黄艳华主编,长春吉林美术出版社,素描作品集俄罗斯现代,本书收录了自画像、拿外套的农妇、农妇习作、斜躺着的裸女、坐着的裸女、坐着的裸体男人、女人肖像、拿烟斗的手等作品。,J,2016.03
航海王卷,日尾田荣一郎苏颖译,杭州浙江人民美术出版社,动画连环画日本现代,航海王卷七十九中文简体字出版物仅限于在中国台湾、香港和澳门除外流通和销售。碍事的是你和鸟笼才对愤怒的喊声冲口而出，路飞抱着必死的决心挑战多弗拉门戈。充满悲剧的德岛会迎来真正的解放吗极限决斗终于迎来后时刻围绕着大秘宝的海洋冒险罗曼史开始了,J,2018.05
素履绘事郭建国绘画作品集,郭建国,沈阳辽宁美术出版社,绘画作品综合集中国现代,作者郭建国的工作室中现在已有满满余件作品，素履绘事郭建国绘画作品集中收录他从青年时的创作到近期的一系列写生，是他艺术旅程的一个缩影，也是他继续探索的启程。,J,2016.03
何要浮名齐白石的艺术世界,北京画院，宁波博物馆编,杭州浙江人民美术出版社,中国画作品集中国现代,本书内容包括家园未剩闲花地橘柚葡萄四角形齐白石的蔬果题材解读真有天然之趣读齐白石艺术时的几许感慨齐白石的篆刻艺术从木匠到巨匠人民艺术家齐白石的艺术人生等。,J,2016.09
画坛巨匠提埃波罗素描,荆成义编,沈阳辽宁美术出版社,素描作品集意大利中世纪,本套书主要介绍欧洲绘画大师的素描、速写作品，并充分展示了绘画大师的绘画风格，并以精湛的笔意、完美的构图、恰如其分的技巧准确的抓住对象的外形特征和精神气质。本书为提埃波罗素描。,J,2016.05
画坛巨匠戈雅素描,荆成义编,沈阳辽宁美术出版社,素描作品集西班牙近代,戈雅素描是画坛巨匠系列图书之一主要介绍西班牙浪漫主义画派画家戈雅的素描作品及创作手稿。,J,2016.05
齐白石书画鉴定,邢捷,天津天津人民美术出版社,齐白石法书鉴定中国画,在研究齐白石书画艺术时，有一个不可忽视的问题，就足对齐白石书画真伪的鉴别，其它书中均未作评述。为了满足广大书画爱好者的需求，笔者编写了这本齐白行书画鉴定。因书画鉴定需通过综合考证，故本书从绘画、书法、篆刻、诗词、生平、旅游等方面，讲述如何对齐白行书画作晶进行鉴定。在编写此书的过程中，得到著名画家慕凌飞老先牛和彭向阳先生的大力支持，在此表示衷心感谢。,J,2012.11
白描仕女画稿,孙文元,天津天津人民美术出版社,仕女画作品集中国现代,本书精选作者所绘的白描仕女画稿，其作品形象生动，构图饱满，人物的神态刻画的细致入微，以供广大美术爱好者参考。,J,2012.01
现代生活的画家,法夏尔波德莱尔,上海上海译文出版社,随笔法国,波德莱尔的文学生涯以一八四六年的沙龙则确立了他权威艺术评论家的地位。波德莱尔大力称颂浪漫派新秀德拉克洛瓦，极力推崇色彩和想象力，他认为对一幅画的评述不妨是一首十四行诗。诗也可以说画，画也可以说诗，现代艺术总是明显地带有取之于各种艺术的微妙之处。本书收录现代生活的画家、马蒂奈画展等篇。,J,2012.01
游戏角色设计教程,俞丰,杭州浙江人民美术出版社,动画角色造型设计高等学校教材,本书的内容系统地讲解了有关游戏设计专业的角色设计理论与方法，培养学生具备观察动态人物、动物、景物的能力与艺术表现力，掌握各种手段的表现欲夸张的艺术感染力。,J,2012.12
王贵与李香香,李季原,天津天津人民美术出版社,连环画中国现代,土地革命在陕北三边地区获得成功后，相爱已久的农村青年王贵与李香香终于结婚。但游击队转移后，恶霸地主崔二爷抓走了王贵，并逼迫李香香改嫁,J,2015.01
何伟魏小丽书画作品集,何伟，魏小丽,银川阳光出版社,汉字法书中国现代作品集,本书是一部书画作品集，收集了书画家何伟先生的部分书法代表作品和其妻子魏小丽的部分代表画作。并在书稿的后面附了两位作者创作过程中拍摄的一些有纪念意义的照片及其证书。,J,2015.03
平罗史话连环画版,邢宏亮主编王立夫，赵瑞雪绘,阳光出版社,连环画中国现代,平罗位于宁夏平原北部，古为军事重镇，称为朔方之天堑。独特的地理位置，丰富的历史内涵，绮丽的黄河文化和民族风情，酿就了平罗深厚的文化底蕴。本书以连环画的形式介绍了平罗的历史文化。,J,2015.01
色彩的力量从古典到浪漫,李振鹏,杭州浙江人民美术出版社,油画绘画评论世界,本书主要内容包括罗吉尔凡德尔维登伊莎贝拉肖像阿尔布雷特丢勒迈克尔瓦格穆特肖像阿尔布雷特丢勒圣母子阿尔布雷特丢勒救世主等。,J,2015.01
写生动物,河南省青藤书画艺术中心编,郑州河南美术出版社,写生绘画技法少儿读物,本套图书主要内容由教师作品和学生作品组成，以写生自然界中的常见的花卉、蔬果、林木、日月、山石等，写生动物以蜜蜂、蝴蝶、熊猫、猴子等常见动物，写生生活以手机、手套、自行车、电动车、汽车、建筑等为主，由简到繁，循序渐进层层深入。并全部用彩铅、水彩笔等染色工具涂色，可大大增加学生的学习积极性，也可让读者学习、欣赏。,J,2015.03
写生生活,河南省青藤书画艺术中心编,郑州河南美术出版社,写生画绘画技法少儿读物,本套书主要内容由教师作品和学生作品组成，以写生自然界中的常见的花卉、蔬果、林木、日月、山石等，写生动物以蜜蜂、蝴蝶、熊猫、猴子等常见动物，写生生活以手机、手套、自行车、电动车、汽车、建筑等为主，由简到繁，循序渐进层层深入。并全部用彩铅、水彩笔等染色工具涂色，可大大增加学生的学习积极性，也可让读者学习、欣赏。,J,2015.03
父与子,德卜劳恩绘,阳光出版社,漫画作品集德国现代,本书内容包括帮儿子写作文的代价、让人着迷的书、聪明的父与子、会走路的箱子、子打架，父打架、越看越像、神枪手、不小心，年轻了岁、领带变成了领结等。,J,2015.01
丹青锦囊历代名家画竹,杨宏鹏，李东岳主编,郑州河南美术出版社,竹花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
丹青锦囊历代名家画牡丹,杨宏鹏，李东岳主编,郑州河南美术出版社,牡丹花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
丹青锦囊历代名家画荷花,杨宏鹏，李东岳主编,郑州河南美术出版社,荷花花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
丹青锦囊历代名家画兰,杨宏鹏，李东岳主编,郑州河南美术出版社,兰科花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
丹青锦囊历代名家画菊,杨宏鹏，李东岳主编,郑州河南美术出版社,菊花花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
丹青锦囊历代名家画梅,杨宏鹏，李东岳主编,郑州河南美术出版社,梅花花卉画作品集中国,本套书收录中国历代名家画梅、兰、竹、菊、牡丹和荷花精品各余幅，这些历代名作风格多样，线条流畅、生动，笔精墨妙，反映了中国历代书画名家深厚的艺术功力和独特个性，书后还附有历代有关梅、兰、竹、菊、牡丹和荷花的诗词题跋，对当代花鸟画画创作提供了学习借鉴的典范和详实的资料。,J,2015.07
俞致贞白描花卉,俞致贞绘,天津天津人民美术出版社,白描花卉画作品集中国现代,俞致贞，著名花鸟画家，善于以传统的勾勒法作工笔白描花卉。俞致贞白描花卉收录了俞致贞女士创作的兰花、水仙、秋海棠、秋葵、向日葵、牡丹、芍药、扶桑、羊蹄夹等作品，对广大美术爱好者有很好的欣赏和参考价值。,J,2015.01
城市写生,罗克中,沈阳辽宁美术出版社,速写写生画作品集中国现代,为名师写生范画系列之一，开印张，为经典速写写生范画，多出自当今许多学生熟悉却画不出来的场景，有很强的示范性为名师写生范画系列之一，开印张，为经典速写写生范画，多出自当今许多学生熟悉却画不出来的场景，有很强的示范性,J,2015.05
中国画写意大课堂云水,刘昌盛,沈阳辽宁美术出版社,写意画国画技法山水画写意画国画技法,本套书内容详实，尤其侧重于基础技法的讲解，在笔法、墨法、色法、水法及构图方面论述充实，文字与图解相对照便于初学者自学。本套丛书总结学画过程中容易出现的问题，并把这些问题融入到具体技法讲解中，使本书更具实用价值。,J,2015.07
手绘大叔系列他与他,墨子玉绘,乌鲁木齐新疆青少年出版社,漫画作品集中国现代,手绘大叔系列他与他是继手绘大叔系列你们我们之后的又一部作品，作者依旧沿用之前作品的画风，用平常生活中的琐事，向读者传递了父亲与儿子之间的情感，绘画中透着温情，文字中透着哲理。语言通俗但立意深刻。,J,2015.06
聆听原始的毕加索,史作柽编,长沙湖南美术出版社,毕加索绘画评论,史作柽的独树一帜，表现在他以生命的彻知彻解为其很终指向。这使他成为当代中国难得一见的存在型哲学家，擅长以全史观的视野从哲学、心理学与艺术等层面思考现实生命与文化，以全新观点直探毕加索独特的艺术核心。有关非洲艺术与毕加索绘画的探讨，展现出其作品深刻的精神感召力与丰富的哲学内涵。史作柽著的聆听原始的毕加索以形上美学的目光审视着毕加索的世界，透过哲学之会通，从生命的角度呈现着毕加索的灵魂与真实。,J,2017.12
鲁本斯,陈东编,长春吉林美术出版社,速写作品集比利时近代,本套图书是在大师巨匠系列重编的一套精选系列，鲁本斯是大师巨匠系列系列图书中销售排名靠前的画家之一，选其经典作品，配以创作年代和材质，高品质印刷，可以说是物超所值。是广大艺术类学生的最佳参考读物。,J,2014.03
钮希文画集中国画骆驼系列,钮希文,银川阳光出版社,骆驼水墨画翎毛走兽画作品集中国现代,本书收录了钮希文先生世纪年代至今创作的余幅以骆驼为主的水墨画作品。创作出大量反映驼乡人民生活情趣和骆驼水墨画作品，画风豪放洒脱，有任伯年、吴昌硕、齐白石、徐悲鸿风。,J,2014.12
篆刻学讲义,寿石工,杭州浙江人民美术出版社,篆刻理论,本书内容包括凡论宗主旁通名式派别弃取选材着墨章法运刀款识润色印人。,J,2016.06
甲骨文书法入门,张道森编,郑州河南美术出版社,甲骨文书法,本书主要介绍甲骨文书法概论，甲骨文书法的识字与用字、笔法、字法、章法，甲骨文卜辞临摹，甲骨文书法创作与风格等内容，深入论述了甲骨文书法的理论成果和甲骨文书法的书写技巧，以甲骨文书法原始文献、甲骨文书法作品、甲骨文书法示意图例证或说明，是一本内容系统、实用性很强的甲骨文书法教材。,J,2015.04
佛说阿弥陀经,弘一法师书,杭州西泠印社出版社,漢字法書作品集中國現代,本书主要内容包括以艺术之形演释教之音佛说阿弥陀经。附佛说阿弥陀经十六屏条缩印版。,J,2006.01
黄庭坚诸上座帖,李毅峰，杨惠东主编,天津天津人民美术出版社,草书碑帖中国北宋,历代碑帖精粹黄庭坚诸上座帖是从中国书法史上精选出的最具代表性、最有影响力的历代经典碑帖。,J,2008.07
书法审美感悟,邓清远,贵阳贵州大学出版社,书法美学文集,书法审美感悟是作者多年来发表在各期刊的七篇论文集而成，主要是关于书法审美境界感悟、书法创作灵感、书法结构与审美、书法审美价值及书法艺术与经济价值关系等的探讨。同时书法审美感悟从中国传统审美观点入手，引述西文美学概念以及书法的理论来论证说明审美情趣对书法创作的重要性。,J,2013.06
孙过庭书谱,李毅峰，杨惠东主编,天津天津人民美术出版社,草书碑帖中国唐代草书碑帖,本书收录了孙过庭的书谱草书作品，并旁附释文。,J,2000.07
印坛点将逯国平,逯国平,杭州西泠印社出版社,汉字印谱中国现代汉字法书作品集中国现代,本书内容包括博观而约取，厚积而薄发国平印象国平先生印记金石之缘书画作品篆刻作品。,J,2017.07
张旭古诗四帖,李毅峰，杨惠东主编,天津天津人民美术出版社,草书法帖中国唐代,中国历代碑帖精粹张旭通篇笔画丰满，绝无纤弱浮滑之笔。行文跌宕起伏，动静交错，满纸如云烟缭绕，实乃草书颠峰之篇。今人郭子绪云古诗四帖，可以说是张旭全部生命的结晶，是天才美和自然美的典型，民族艺术的精华，永恒美的象征。,J,2013.06
苏轼黄州寒食诗帖,李毅峰，杨惠东主编,天津天津人民美术出版社,行书碑帖中国北宋,黄州寒食诗帖是苏轼在被贬黄州第三年年的寒食节写成，是平生最得意的作品之一，被称为苏书第一。品其诗，饱含着生活凄苦，心境悲凉的感伤，富有强烈的感染力论其书，笔酣墨饱，神充气足，恣肆跌宕，飞扬飘洒，巧妙地将诗情、画意、书境三者融为一体。通篇起伏跌宕，迅疾而稳健，痛快淋漓，一气呵成。苏轼将诗句心境情感的变化，寓于点画线条的变化中，或正锋，或侧锋，转换多变了顺手断莲，浑然天成。其结字亦奇，或大或小，或疏或密，有轻有重，有宽有窄，参差错落，恣肆奇崛，变化万千。,J,2013.06
书法基础训练,王颂余等,天津天津人民美术出版社,汉字书法,容包括临摹的前提条件、临摹的基本要求、临摹的主要方法、临摹的几个步骤、用笔的动作、用笔的变化、用笔的要求、如何掌握起收笔变化、如何表现方笔与圆笔、如何理解中锋与侧锋等,J,2013.01
黄庭坚廉颇蔺相如传,李毅峰，杨惠东主编,天津天津人民美术出版社,章草法书中国北宋,中国历代碑帖精粹黄庭坚？廉颇蔺相如传是中国历代碑帖集萃系列之一，精选了在中国历上颇具影响力与代表性的名家、名碑、名帖，反映了中国书法的博大精深与源远流长。中国古代碑刻有三千年的历史，是中国传统文化艺术的重要组成部分，在中国文化艺术史和收藏上占有重要地位。中国碑刻博大精深，它反映出古代历史、中国文字、书法艺术、镌刻工艺，社会风俗多方面的内容。,J,2013.06
行书教程颜真卿争座位帖解析,安宏忠编,天津天津人民美术出版社,行书书法教材,书法培训教程系列图书中的一册，以唐代颜真卿的争座位帖为解析对象，分为颜真卿与争座位帖简介及其风格特点，书写姿势和执笔方法，行书的基本笔法，基本笔法及其变化，笔顺，结体，章法与创作，集字作品范例，原帖欣赏几部分，内容详尽，指导性强，适合学习楷书的读者使用,J,2013.01
陆机平复帖索靖出师颂,李毅峰，杨惠东主编,天津天津人民美术出版社,章草碑帖中国晋代,中国历代碑帖精粹陆机索靖是从中国书法精选出的具代表性、有影响力的历代经典碑帖。,J,2013.06
日语手写体假名字帖,牛小可,世界图书出版公司北京公司,日文法帖,本书对手写体假名逐一进行解析，明确手写假名时要注意的地方。这是一本填补市场空白的好书。越简单的书越难写。对于刚开始学习日语的人来说，日语书写是一道不可跳过的门槛。由于日语文字的特殊性，印刷体和手写体存在着笔画、结构上的一些不同，这一点让入门学习者颇为困惑。,J,2017.01
中国书法精神,石延平,郑州河南美术出版社,汉字书法艺术评论中国,本书辑近现代书法家未曾发表过的作品百余幅，并就书家艺术风格、艺术精神进行了全面客观评述，是书家及藏家必读书籍。,J,2012.01
北魏张猛龙碑集联,天津人民美术出版社编,天津天津人民美术出版社,楷书碑帖中国北魏,张猛龙碑，又称魏鲁郡太守张府君清颂之碑。北魏正光三年公元五二二年正月二十二日刻成。石立于山东曲阜孔庙。碑文为歌颂北魏鲁郡太守张猛龙尊孔兴学的事迹。张猛龙碑堪称魏碑中的精品，亦可称之为魏碑最高成就的代表。其用笔沉着痛快，如断金切玉，干净利落，其用笔方圆并施，从而增强笔画的质感和内涵。其结体险峻多姿，中宫紧密，四面伸张，大开大阖，欹侧多变，俯仰相生，且随字赋形，不拘一格，达到了自然生动的效果。其布局谋篇独具匠心，疏密有致，意态纵横，左顾右盼，相映成趣，给人以典雅雍容、劲拔刚健、灵动浑圆之感。,J,2012.05
唐孙过庭书谱集联,天津人民美术出版社编,天津天津人民美术出版社,草书碑帖中国唐代,中国历代碑帖集联唐孙过庭书谱集联是中国历代碑帖集联的一种。书谱为墨迹体，唐孙过庭撰并书，整件作品宽二十七点二厘米，长八百就十二点而死厘米，三百五十一行，凡三千五百余字，衍文七十余字，孙过庭，字虔礼，吴郡今江苏苏州人，为唐早期的学者和书法家，具体生卒年代不详。他曾官至率府录事参军，博通古今，独秀文华，擅长草书，唐张怀瓘书断称其博雅有文章，草书宪章二王，工于用笔，峻拔刚断，尚异好奇，然所谓少功用，有天材。真行之书，亚于草矣。他最为著名的作品就是书谱。阙文近二百字。现藏台北故宫博物院。,J,2012.05
汉孔宙碑集联,天津人民美术出版社编,天津天津人民美术出版社,隶书碑帖中国东汉时代,中国历代碑帖集联汉孔宙碑集联是中国历代碑帖集联的一种。汉孔宙碑全称汉泰山都尉孔宙碑，东汉延熹七年公元一六四年七月立，在山东曲阜孔庙。据清王昶金石萃编记碑竖七尺三寸，广四尺。书体为隶书碑阳十五行，行二十八字，碑额阳文篆书有汉泰山都尉孔君之碑十字。碑阴三列，上二列各二十一行，下列二十行，上题门生故吏名篆书五字。该碑点画寓起伏于平直之中用笔舒畅自然有一泻千里之气势结体宽博平正，具有浓厚的庙堂气息，章法整齐划一而无板滞之弊开阖自然，上下连贯，左右呼应，浑然天成。,J,2012.05
汉封龙山颂集联,天津人民美术出版社编,天津天津人民美术出版社,汉字碑帖中国汉代,中国历代碑帖集联汉封龙山颂集联笔画圆浑，用笔遒劲豪放，有篆籀笔意，结体方正质朴，平正中蕴含动感，气象宏大，法度谨严。通篇看来，其静与动，放与敛，含蓄与豪迈，粗犷与俊美，恣肆与规整，达到了完美的统一。该碑自被发现之后，即广受赞誉，清方朔枕经堂金石书画题跋称其字体方正古健，有孔庙之乙瑛碑气魄，文尤雅饬，确是东京人手笔。杨守敬平碑记称其一雄伟劲健，鲁峻碑尚不及也。汉隶气魄之大，无愈于此。,J,2012.05
周毛公鼎铭集联,天津人民美术出版社编,天津天津人民美术出版社,大篆法帖中国西周时代,相对于甲骨文而言，金文是更为成熟、更为完美的文字，在中国书法史上具有重要的位置。由于它是刻写在铸造前的范具上，可以进行加工、修饰，因此大多字画清晰圆润，线条婉转流畅，字形美观规范。其中最为著名者当为散氏盘铭、毛公鼎铭、虢季子白盘铭、大盂鼎铭等。,J,2012.05
汉张迁碑集联,天津人民美术出版社编,天津天津人民美术出版社,隶书碑帖中国汉代,张迁碑，又称汉故谷城长荡阴令张君表颂，亦称张君表。该碑刻于东汉中平三年公元一八六年二月，立于山东东平州学明伦学堂前。后埋没乡间，至明代方重新出土。原石今藏山东泰安岱庙内。是碑碑主张迁曾为谷城长，多仁德惠政，后迁荡阴令，吏民感思其德，立石颂扬，故可归之为去思碑之类。,J,2012.05
书理思辨,陈方既编,郑州河南美术出版社,汉字书法理论,该书从对美、对艺术的认识为基本出发点，详细论述了书法的定义书法的本质、书法的形式和内容、书法艺术形象的特征、书法形象创造和书法美的把握、书法与现实的关系、书法的法度和意韵、神采与形质、风格与气息等等。,J,2012.01
汉祀三公山碑集联,天津人民美术出版社编,天津天津人民美术出版社,篆书碑帖中国东汉时代,中国历代碑帖集联汉祀三公山碑集联是中国历代碑帖集联的一种。汉祀三公山碑全称汉常山相冯君祀三公山碑，俗称大三公山碑。碑文起首为初四年，清翁方纲考为东汉元初四年公元一一七年。清乾隆三十九年公元一七七四年为元氏县令王治岐在元氏县城外访得今立于河北省元氏县西北封龙山下。王昶金石萃编记碑高六尺九寸五分，广二尺五寸。书体在篆隶之间，碑文十行，行十七字至二十字不等。,J,2012.05
楷书教程赵孟俯胆巴碑解析,康国林，高轩，编,天津天津人民美术出版社,楷书书法教材,本书是中国书法培训教程中的一册，以赵孟頫的胆巴碑为解析对象，让初学者能适应自学了解，掌握胆巴碑的临习重点与难点。,J,2012.02
秦会稽刻石集联,天津人民美术出版社编,天津天津人民美术出版社,篆书碑帖中国秦代,会稽刻石是秦始皇三十七年公元前年秦始皇第五次巡行临会稽山今浙江绍兴东南时，丞相李斯等颂扬秦德而立。书体为小篆，相传为李斯所书。原石久佚，文辞保留在史记秦始皇本纪中。元至正元年公元年，申屠以摹本重刻立石于浙江绍兴学官。清康熙时又被人磨去。乾隆五十五年公元年，绍兴知府李享以旧拓申屠摹本嘱金匮钱梅溪重刻。后有李享、翁方纲、阮元诸家跋。我们今天所看到的，就是清乾隆年间梅溪的重刻本。,J,2012.05
汉曹全碑集联,天津人民美术出版社编,天津天津人民美术出版社,隶书碑帖中国东汉时代,汉曹全碑全称汉邰阳令曹全碑，东汉中平二年公元一八五年十月立，明万历初在陕西邰阳旧城出土，现在陕西西安碑林。该碑碑阳二十行，行四十五字碑阴五列，行数不等。书体为隶书。在为数众多的隶书碑刻中，曹全碑是其中的佼佼者。该碑点画圆润，温文尔雅，蚕头雁尾，婉转流美，字势舒展，刚柔相济其结体略取侧势，布局精巧，中宫紧缩，精气内含。通篇风格统一而富于变化，整饬而不刻板。,J,2012.05
周散氏盘铭集联,天津人民美术出版社编,天津天津人民美术出版社,大篆法帖中国西周时代金文拓本,中国历代碑帖集联周散氏盘铭集联是中国历代碑帖集联的一种。散氏盘又名矢人盘，为西周厉王时期的青铜器。清乾隆初年出土于陕西凤翔，随后藏于乾隆内府，现藏台北故宫博物院。该器铭文书体为大篆，十九行，共三百五十七字。铭文记述矢、散两个联姻国之间划分田界之事，包括立誓、画图确认归属等。,J,2012.05
书法比赛组织活动读本,张建成主编,奎屯伊犁人民出版社,书法基本知识,本书包括书法的定义和种类、书法的工具和材料、学习书法的正确方法、学习书法的重要性、书法活动的指导等内容。,J,2015.08
高鹏书真草千字文,高鹏,天津天津人民美术出版社,法书作品集中国现代,本书分为两部分，分别收录了高鹏先生的真书千字文和草书千字文。,J,2015.01
学碑记,史星文,西安三秦出版社,书法中国文集法书作品集现代,本书辑录作者十二年习碑期间展出和发展的书法作品二百零三幅，存照备忘。并选摘散文片段二百七十二则，填空补白。,J,2015.07
八大山人行书心经,郑立编,郑州河南美术出版社,行书法帖中国清代,本书是中国历代书法名家写心经放大本系列丛书之一共册精选了历代书法名家王羲之、颜真卿、苏轼、赵孟頫、弘一法师等所书或集字而成的心经书法每本均有彩色整图展示便于欣赏内文放大呈现便于临摹。本册心经为八大山人行书作品。,J,2015.05
吴昌硕篆书心经,释永信,郑州河南美术出版社,篆书法帖中国近代,吴昌硕篆书心经是河南美术出版社为书法爱好者精心打造的系列丛书之一，共册，精选了历代书法名家王羲之、颜真卿、苏轼、赵孟頫、弘一法师等所书或集字而成的心经书法，每本均有彩色整图展示，便于欣赏，内文放大呈现，便于临摹。,J,2015.05
苏轼行书心经,释永信,郑州河南美术出版社,行书法帖中国北宋,苏轼行书心经是河南美术出版社为书法爱好者精心打造的系列丛书之一，精选了历代书法名家王羲之、颜真卿、苏轼、赵孟頫、弘一法师等所书或集字而成的心经书法，每本均有彩色整图展示，便于欣赏，内文放大呈现，便于临摹。苏轼行书心经八开印刷，每本定价元，是书法家、书法爱好者不可多得的参考用书之一。,J,2015.05
钟绍京楷书心经,释永信,郑州河南美术出版社,楷书法帖中国唐代,钟绍京楷书心经是河南美术出版社为书法爱好者精心打造的系列丛书之一，共册，精选了历代书法名家王羲之、颜真卿、苏轼、赵孟頫、弘一法师等所书或集字而成的心经书法，每本均有彩色整图展示，便于欣赏，内文放大呈现，便于临摹。该丛书八开印刷，每本定价元，是书法家、书法爱好者不可多得的参考用书之一。,J,2015.05
